Reference, Value, Footprint, Datasheet, manf#, Digikey, Field10, Field11, Field4, Field5, Field6, Field7, Field8, Field9
"J24","I2C_ext1","ClockIOT_libs:Header_4x1","~"
"J25","I2C_ext2","ClockIOT_libs:Header_4x1","~"
"C29","100nF","ClockIOT_libs:c_0805",""
"C31","100nF","ClockIOT_libs:c_0805",""
"C30","100nF","ClockIOT_libs:c_0805",""
"C1","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"U1","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U2","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U3","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U4","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U5","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U6","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U7","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U8","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"C2","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"U9","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U10","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U11","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U12","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U13","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U14","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U15","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U16","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U17","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U18","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U19","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U20","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U21","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U22","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U23","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U24","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U25","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U26","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U27","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U28","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U29","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U30","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U31","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U32","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"C3","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"C4","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"U33","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U34","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U35","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U36","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U37","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U38","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U39","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U40","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U41","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U42","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U43","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U44","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U45","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U46","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U47","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U48","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"C5","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"C6","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"U49","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U50","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U51","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U52","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U53","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U54","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U55","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U56","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U57","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U58","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U59","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U60","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U61","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U62","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U63","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U64","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"C7","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"C8","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"U65","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U66","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U67","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U68","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U69","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U70","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U71","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U72","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U73","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U74","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U75","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U76","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U77","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U78","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U79","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U80","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"C9","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"C10","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
